date,ticker,y_true,y_pred
2022-03-17,BBVA,5.292000,5.325329
2022-03-18,BBVA,5.280000,5.325826
2022-03-21,BBVA,5.290000,5.330235
2022-03-22,BBVA,5.365000,5.359244
2022-03-23,BBVA,5.199000,5.341590
2022-03-24,BBVA,5.120000,5.293248
2022-03-25,BBVA,5.115000,5.267747
2022-03-28,BBVA,5.155000,5.269729
2022-03-29,BBVA,5.501000,5.362948
2022-03-30,BBVA,5.390000,5.419042
2022-03-31,BBVA,5.210000,5.385071
2022-04-01,BBVA,5.290000,5.371620
2022-04-04,BBVA,5.322000,5.361188
2022-04-05,BBVA,5.250000,5.348355
2022-04-06,BBVA,4.856500,5.242805
2022-04-07,BBVA,4.845500,5.141517
2022-04-08,BBVA,4.893000,5.100803
2022-04-11,BBVA,4.962000,5.094152
2022-04-12,BBVA,4.970000,5.104139
2022-04-13,BBVA,4.953500,5.092140
2022-04-14,BBVA,5.034000,5.109072
2022-04-19,BBVA,5.082000,5.099289
2022-04-20,BBVA,5.091000,5.146361
2022-04-21,BBVA,5.152000,5.203972
2022-04-22,BBVA,5.006000,5.194723
2022-04-25,BBVA,4.810500,5.117188
2022-04-26,BBVA,4.682500,5.024774
2022-04-27,BBVA,4.695000,4.967359
2022-04-28,BBVA,4.748000,4.958734
2022-04-29,BBVA,5.059000,5.043532
2022-05-02,BBVA,4.845000,5.062160
2022-05-03,BBVA,4.895000,5.068072
2022-05-04,BBVA,4.770000,5.035416
2022-05-05,BBVA,4.590000,4.959847
2022-05-06,BBVA,4.589000,4.891123
2022-05-09,BBVA,4.579000,4.846950
2022-05-10,BBVA,4.640000,4.838451
2022-05-11,BBVA,4.747500,4.863947
2022-05-12,BBVA,4.708500,4.873307
2022-05-13,BBVA,4.850000,4.922860
2022-05-16,BBVA,4.848000,4.958520
2022-05-17,BBVA,4.900500,4.996267
2022-05-18,BBVA,4.854000,4.999191
2022-05-19,BBVA,4.766500,4.965350
2022-05-20,BBVA,4.747500,4.931331
2022-05-23,BBVA,4.871000,4.951683
2022-05-24,BBVA,4.844500,4.966045
2022-05-25,BBVA,4.895000,4.995129
2022-05-26,BBVA,5.007000,5.045815
2022-05-27,BBVA,5.041000,5.091080
2022-05-30,BBVA,5.147000,5.141449
2022-05-31,BBVA,5.079000,5.145720
2022-06-01,BBVA,5.008000,5.116207
2022-06-02,BBVA,4.988500,5.086125
2022-06-03,BBVA,4.957500,5.061195
2022-06-06,BBVA,5.104000,5.094795
2022-06-07,BBVA,5.039000,5.108686
2022-06-08,BBVA,4.977000,5.097079
2022-06-09,BBVA,4.743500,5.012792
2022-06-10,BBVA,4.310500,4.837534
2022-06-13,BBVA,4.154000,4.674272
2022-06-14,BBVA,4.194000,4.575572
2022-06-15,BBVA,4.261500,4.538868
2022-06-16,BBVA,4.172000,4.499387
2022-06-17,BBVA,4.272500,4.480301
2022-06-20,BBVA,4.329500,4.503303
2022-06-21,BBVA,4.308000,4.519343
2022-06-22,BBVA,4.372500,4.538568
2022-06-23,BBVA,4.243000,4.525518
2022-06-24,BBVA,4.343000,4.530521
2022-06-27,BBVA,4.414000,4.561309
2022-06-28,BBVA,4.409000,4.588845
2022-06-29,BBVA,4.317500,4.580625
2022-06-30,BBVA,4.330500,4.566146
2022-07-01,BBVA,4.313500,4.553140
2022-07-04,BBVA,4.373500,4.561594
2022-07-05,BBVA,4.215000,4.529677
2022-07-06,BBVA,4.209500,4.494543
2022-07-07,BBVA,4.362500,4.515748
2022-07-08,BBVA,4.397000,4.548973
2022-07-11,BBVA,4.285000,4.533202
2022-07-12,BBVA,4.123500,4.465163
2022-07-13,BBVA,4.128000,4.412610
2022-07-14,BBVA,3.999500,4.352293
2022-07-15,BBVA,4.101000,4.332896
2022-07-18,BBVA,4.100000,4.330843
2022-07-19,BBVA,4.260500,4.370130
2022-07-20,BBVA,4.170000,4.380729
2022-07-21,BBVA,4.200500,4.388342
2022-07-22,BBVA,4.148000,4.378924
2022-07-25,BBVA,4.197000,4.383667
2022-07-26,BBVA,4.106000,4.361038
2022-07-27,BBVA,4.160000,4.358372
2022-07-28,BBVA,4.168000,4.359922
2022-07-29,BBVA,4.417000,4.427589
2022-08-01,BBVA,4.365500,4.474569
2022-08-02,BBVA,4.415500,4.508035
2022-08-03,BBVA,4.558500,4.552501
2022-08-04,BBVA,4.609500,4.596555
2022-08-05,BBVA,4.621000,4.620611
2022-08-08,BBVA,4.646500,4.639318
2022-08-09,BBVA,4.678000,4.655777
2022-08-10,BBVA,4.709000,4.675133
2022-08-11,BBVA,4.729000,4.697279
2022-08-12,BBVA,4.777000,4.729633
2022-08-15,BBVA,4.797000,4.757678
2022-08-16,BBVA,4.857000,4.794782
2022-08-17,BBVA,4.824000,4.810911
2022-08-18,BBVA,4.858000,4.832480
2022-08-19,BBVA,4.695000,4.774550
2022-08-22,BBVA,4.551000,4.682126
2022-08-23,BBVA,4.585500,4.645403
2022-08-24,BBVA,4.544500,4.631144
2022-08-25,BBVA,4.521500,4.629382
2022-08-26,BBVA,4.453000,4.615927
2022-08-29,BBVA,4.433500,4.601435
2022-08-30,BBVA,4.486500,4.619413
2022-08-31,BBVA,4.491500,4.638915
2022-09-01,BBVA,4.435500,4.636553
2022-09-02,BBVA,4.560500,4.678142
2022-09-05,BBVA,4.469500,4.673807
2022-09-06,BBVA,4.492500,4.674700
2022-09-07,BBVA,4.490500,4.672799
2022-09-08,BBVA,4.625000,4.715956
